File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF075TIW	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF268SII/, /files/ENCFF331WIZ/, /files/ENCFF904UKX/, /files/ENCFF843MHP/, /files/ENCFF576RGE/, /files/ENCFF039QTN/	50157	Gene Yeo, UCSD	6e2cef52bb5c95d6f629ab57c857a0e8		https://www.encodeproject.org/files/ENCFF075TIW/@@download/ENCFF075TIW.bed.gz				released	s3://encode-public/2018/06/08/e46f7baa-4ef5-40d0-881e-0edd8cc0654d/ENCFF075TIW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/e46f7baa-4ef5-40d0-881e-0edd8cc0654d/ENCFF075TIW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	antibody characterized with exemption		
ENCFF185OEI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF401TWM/, /files/ENCFF560ZTA/, /files/ENCFF148DUH/, /files/ENCFF269URO/, /files/ENCFF101VSR/, /files/ENCFF311PHS/	48712	Gene Yeo, UCSD	5b2e3b98ac5a7268da8749faea229c19		https://www.encodeproject.org/files/ENCFF185OEI/@@download/ENCFF185OEI.bed.gz				released	s3://encode-public/2018/12/03/c76191aa-38e8-4999-a7f7-b4e741b75006/ENCFF185OEI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/c76191aa-38e8-4999-a7f7-b4e741b75006/ENCFF185OEI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	antibody characterized with exemption		
ENCFF509GWT	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF464FAG/, /files/ENCFF792HHG/	2981930	Gene Yeo, UCSD	10ed4f810161021b09a14777d2844dc0		https://www.encodeproject.org/files/ENCFF509GWT/@@download/ENCFF509GWT.bed.gz				released	s3://encode-public/2018/04/29/cd69dd7c-92b8-474e-9d31-2c7fa0b17a99/ENCFF509GWT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/cd69dd7c-92b8-474e-9d31-2c7fa0b17a99/ENCFF509GWT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF891IAC	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF963RSK/, /files/ENCFF792HHG/	3174110	Gene Yeo, UCSD	4089f787aff6454559c085b5e7d8de6b		https://www.encodeproject.org/files/ENCFF891IAC/@@download/ENCFF891IAC.bed.gz				released	s3://encode-public/2018/04/29/ffeeb50e-d2fc-4c4c-81ff-8a0874b2214f/ENCFF891IAC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/ffeeb50e-d2fc-4c4c-81ff-8a0874b2214f/ENCFF891IAC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF611AHG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF961WNO/, /files/ENCFF696LDT/	3014234	Gene Yeo, UCSD	fd7eb5104fef8a5bcd077d64ff4c2e79		https://www.encodeproject.org/files/ENCFF611AHG/@@download/ENCFF611AHG.bed.gz				released	s3://encode-public/2018/04/29/8c290b53-d875-4afc-a5ce-c1264ecdca6b/ENCFF611AHG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/8c290b53-d875-4afc-a5ce-c1264ecdca6b/ENCFF611AHG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF988MWD	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF701PJM/, /files/ENCFF696LDT/	3076282	Gene Yeo, UCSD	bf80c2c357be9a0fdcbf80a52216fe73		https://www.encodeproject.org/files/ENCFF988MWD/@@download/ENCFF988MWD.bed.gz				released	s3://encode-public/2018/04/29/433a517b-608f-44d3-a487-c66c2d39489d/ENCFF988MWD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/433a517b-608f-44d3-a487-c66c2d39489d/ENCFF988MWD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF553APP	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF891IAC/, /files/ENCFF464FAG/, /files/ENCFF509GWT/, /files/ENCFF963RSK/, /files/ENCFF792HHG/, /files/ENCFF039QTN/	109382	Gene Yeo, UCSD	830388962431d33242dc6d9b27b320a5		https://www.encodeproject.org/files/ENCFF553APP/@@download/ENCFF553APP.bed.gz				released	s3://encode-public/2018/06/08/93232adc-a654-4508-a7a0-aa04f56b9f20/ENCFF553APP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/93232adc-a654-4508-a7a0-aa04f56b9f20/ENCFF553APP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF771QAU	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR366DGX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										KHSRP-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF269URO/, /files/ENCFF696LDT/, /files/ENCFF701PJM/, /files/ENCFF988MWD/, /files/ENCFF961WNO/, /files/ENCFF611AHG/	108513	Gene Yeo, UCSD	674273b80c9ca23fcfa2871e14ddd978		https://www.encodeproject.org/files/ENCFF771QAU/@@download/ENCFF771QAU.bed.gz				released	s3://encode-public/2018/12/03/bd37f01c-2ab5-4e31-a2d8-d40263383465/ENCFF771QAU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/bd37f01c-2ab5-4e31-a2d8-d40263383465/ENCFF771QAU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF456DAU	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF118ANT/, /files/ENCFF593ZRE/	1270932	Gene Yeo, UCSD	877439b7591e279a58c5c5f2749bc0d0		https://www.encodeproject.org/files/ENCFF456DAU/@@download/ENCFF456DAU.bed.gz				released	s3://encode-public/2018/04/29/b6723447-e8df-4156-b3aa-4a8f4c74bea3/ENCFF456DAU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/b6723447-e8df-4156-b3aa-4a8f4c74bea3/ENCFF456DAU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF473IIG	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF620WSX/, /files/ENCFF593ZRE/	1025835	Gene Yeo, UCSD	193e509ed4b6747fc869f603fcde0404		https://www.encodeproject.org/files/ENCFF473IIG/@@download/ENCFF473IIG.bed.gz				released	s3://encode-public/2018/04/29/2fedd11d-8aad-42f3-b9e3-f2ffe716b88a/ENCFF473IIG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/2fedd11d-8aad-42f3-b9e3-f2ffe716b88a/ENCFF473IIG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF467UOO	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF413UKK/, /files/ENCFF563EHM/	958646	Gene Yeo, UCSD	e6cf0562482c6e05672bff84b530895f		https://www.encodeproject.org/files/ENCFF467UOO/@@download/ENCFF467UOO.bed.gz				released	s3://encode-public/2018/04/29/b11f2b95-857f-4507-ab1d-ecc12b97e121/ENCFF467UOO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/b11f2b95-857f-4507-ab1d-ecc12b97e121/ENCFF467UOO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF302ROS	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF902OZA/, /files/ENCFF563EHM/	1232263	Gene Yeo, UCSD	f779f629ad64cfe93ab1ba9e5979de4c		https://www.encodeproject.org/files/ENCFF302ROS/@@download/ENCFF302ROS.bed.gz				released	s3://encode-public/2018/04/29/24e80d04-74d3-4698-bafa-8de5abc182a8/ENCFF302ROS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/24e80d04-74d3-4698-bafa-8de5abc182a8/ENCFF302ROS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF387ZAH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF620WSX/, /files/ENCFF593ZRE/, /files/ENCFF456DAU/, /files/ENCFF039QTN/, /files/ENCFF118ANT/, /files/ENCFF473IIG/	54685	Gene Yeo, UCSD	a40cd3d7439be5713083485c8d66b762		https://www.encodeproject.org/files/ENCFF387ZAH/@@download/ENCFF387ZAH.bed.gz				released	s3://encode-public/2018/06/08/dfb37576-624c-458f-8fc9-9d4d84b17aaf/ENCFF387ZAH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/dfb37576-624c-458f-8fc9-9d4d84b17aaf/ENCFF387ZAH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF612HOP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR322HHA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TIAL1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF563EHM/, /files/ENCFF302ROS/, /files/ENCFF269URO/, /files/ENCFF413UKK/, /files/ENCFF902OZA/, /files/ENCFF467UOO/	53192	Gene Yeo, UCSD	af3aa5df326ffd258cec7648e6fc1460		https://www.encodeproject.org/files/ENCFF612HOP/@@download/ENCFF612HOP.bed.gz				released	s3://encode-public/2018/12/03/74424fe3-6c3e-4ba5-96ae-cb4515b364b5/ENCFF612HOP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/74424fe3-6c3e-4ba5-96ae-cb4515b364b5/ENCFF612HOP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF572GMO	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR040QLV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF099RYM/, /files/ENCFF787VFD/	373026	Gene Yeo, UCSD	c0e6cc4cc6bb8aec7bdf8df42e56848d		https://www.encodeproject.org/files/ENCFF572GMO/@@download/ENCFF572GMO.bed.gz				released	s3://encode-public/2018/04/29/c25f450e-902c-4143-b1c8-b8737bbca080/ENCFF572GMO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/c25f450e-902c-4143-b1c8-b8737bbca080/ENCFF572GMO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF945XNS	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR040QLV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF845KUG/, /files/ENCFF787VFD/	765855	Gene Yeo, UCSD	a9efb52e6a4a6f111548b4c95984bfa8		https://www.encodeproject.org/files/ENCFF945XNS/@@download/ENCFF945XNS.bed.gz				released	s3://encode-public/2018/04/29/3bf16ccf-ffae-4285-8579-b7069241cf25/ENCFF945XNS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/3bf16ccf-ffae-4285-8579-b7069241cf25/ENCFF945XNS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
